,Target Addr,City,CC,Country,Probe Longitude,Probe Latitude,Probe ID
40,125.66.117.66,NAN,NAN,NAN,NAN,NAN,NAN
41,202.111.124.162,NAN,NAN,NAN,NAN,NAN,NAN
42,219.135.96.169,Tsuen Wan,HK,Hong Kong,114.1175,22.3695,12214
43,61.131.135.154,NAN,NAN,NAN,NAN,NAN,NAN
44,221.236.133.10,NAN,NAN,NAN,NAN,NAN,NAN
45,59.38.106.190,NAN,NAN,NAN,NAN,NAN,NAN
46,110.85.55.50,NAN,NAN,NAN,NAN,NAN,NAN
47,59.47.81.46,NAN,NAN,NAN,NAN,NAN,NAN
48,202.103.236.162,NAN,NAN,NAN,NAN,NAN,NAN
49,73.157.229.201,Port Moody,CA,Canada,-122.8125,49.2515,52209
50,76.103.193.34,NAN,NAN,NAN,NAN,NAN,NAN
51,98.195.166.62,NAN,NAN,NAN,NAN,NAN,NAN
52,73.216.119.206,Reston,US,United States,-77.3615,38.9515,6928
53,98.199.39.82,NAN,NAN,NAN,NAN,NAN,NAN
54,71.62.80.223,NAN,NAN,NAN,NAN,NAN,NAN
55,68.47.255.119,NAN,NAN,NAN,NAN,NAN,NAN
56,73.147.125.20,NAN,NAN,NAN,NAN,NAN,NAN
57,73.252.73.248,NAN,NAN,NAN,NAN,NAN,NAN
58,24.91.48.117,NAN,NAN,NAN,NAN,NAN,NAN
59,73.43.234.115,Druid Hills,US,United States,-84.3695,33.7995,35465
60,73.124.109.196,NAN,NAN,NAN,NAN,NAN,NAN
61,98.216.34.221,NAN,NAN,NAN,NAN,NAN,NAN
62,73.79.203.112,NAN,NAN,NAN,NAN,NAN,NAN
63,71.56.176.72,Reston,US,United States,-77.3615,38.9515,6928
64,73.182.6.18,NAN,NAN,NAN,NAN,NAN,NAN
65,71.194.230.61,NAN,NAN,NAN,NAN,NAN,NAN
66,147.191.135.200,NAN,NAN,NAN,NAN,NAN,NAN
67,50.200.106.19,NAN,NAN,NAN,NAN,NAN,NAN
68,75.74.235.72,NAN,NAN,NAN,NAN,NAN,NAN
69,73.120.29.100,NAN,NAN,NAN,NAN,NAN,NAN
70,24.129.125.237,NAN,NAN,NAN,NAN,NAN,NAN
71,76.104.44.131,Reston,US,United States,-77.3615,38.9515,6928
72,73.51.102.192,NAN,NAN,NAN,NAN,NAN,NAN
73,50.225.135.58,Ashburn,US,United States,-77.4915,39.0385,1002633
74,73.250.97.141,Reston,US,United States,-77.3615,38.9515,6928
75,98.207.239.42,Milpitas,US,United States,-121.9225,37.4705,50306
76,71.60.250.85,NAN,NAN,NAN,NAN,NAN,NAN
77,69.243.139.35,NAN,NAN,NAN,NAN,NAN,NAN
78,67.167.203.27,NAN,NAN,NAN,NAN,NAN,NAN
79,50.227.113.42,NAN,NAN,NAN,NAN,NAN,NAN
80,50.232.154.234,NAN,NAN,NAN,NAN,NAN,NAN
81,50.207.88.50,NAN,NAN,NAN,NAN,NAN,NAN
82,73.120.131.110,NAN,NAN,NAN,NAN,NAN,NAN
83,50.242.97.65,Milpitas,US,United States,-121.9295,37.4885,1000673
84,71.62.41.141,Reston,US,United States,-77.3615,38.9515,6928
85,76.31.14.50,Dallas,US,United States,-96.7995,32.7805,1004077
86,73.209.123.157,NAN,NAN,NAN,NAN,NAN,NAN
87,73.57.20.84,Vinings,US,United States,-84.4705,33.8915,6859
88,98.38.16.107,Longmont,US,United States,-105.1225,40.1395,18414
89,96.80.87.65,NAN,NAN,NAN,NAN,NAN,NAN
90,50.236.54.58,NAN,NAN,NAN,NAN,NAN,NAN
91,68.55.59.209,NAN,NAN,NAN,NAN,NAN,NAN
92,73.2.194.88,NAN,NAN,NAN,NAN,NAN,NAN
93,71.236.164.14,NAN,NAN,NAN,NAN,NAN,NAN
94,73.169.159.124,Seattle,US,United States,-122.3425,47.6075,7011
95,67.163.150.90,NAN,NAN,NAN,NAN,NAN,NAN
96,73.223.4.41,Milpitas,US,United States,-121.9295,37.4885,1000673
97,73.31.66.225,Reston,US,United States,-77.3615,38.9515,6928
